"","site","year","mu","ci.lo95","ci.hi95","med","hpdi.lo95","hpdi.hi95"
"226","OKRE",2014,7.78,5.28,10.9,7.69,5.07,10.6
"227","OKRE",2015,3.32,2.18,4.71,3.28,2.11,4.62
"228","OKRE",2016,22.3,16.1,29.6,22.1,15.7,29.2
"229","OKRE",2017,6.33,5.04,7.77,6.3,4.99,7.71
"230","OKRE",2018,5.5,4.11,7.07,5.48,4.09,7.05
"231","OKRW",2013,11.4,2.15,31.3,8.4,0.393,22.4
"232","OKRW",2014,10.2,6.74,14.1,10.1,6.54,13.8
"233","OKRW",2015,11.2,2.17,32.1,8.4,0.309,22.9
"234","OKRW",2016,11.5,8.06,15.6,11.4,7.88,15.4
"235","OKRW",2017,6.22,5.22,7.34,6.2,5.2,7.31
"236","OKRW",2018,7.41,5.9,9.02,7.39,5.86,8.97
"237","OSR",2013,2.54,1.84,3.36,2.52,1.83,3.34
"238","OSR",2014,12.2,10.7,13.9,12.2,10.7,13.9
"239","OSR",2015,4.19,3.57,4.84,4.19,3.56,4.82
"240","OSR",2016,12.3,9.99,14.8,12.2,9.87,14.7
"241","OSR",2017,8.18,7.25,9.16,8.17,7.22,9.13
"242","OSR",2018,5.55,4.75,6.38,5.54,4.73,6.35
"243","S22",2013,5.57,1.55,11.8,5.26,0.865,10.3
"244","S22",2014,9.47,7.03,12.3,9.41,6.93,12.1
"245","S22",2015,5.32,4.24,6.5,5.31,4.19,6.44
"246","S22",2016,7.9,6.49,9.48,7.87,6.39,9.35
"247","S22",2017,4.8,4.26,5.37,4.79,4.27,5.37
"248","S22",2018,7.37,4.8,10.6,7.26,4.62,10.3
"249","SM",2013,2.31,1.77,2.89,2.3,1.78,2.91
"250","SM",2014,10.4,5,16.6,10.2,4.6,16.1
"251","SM",2015,3.26,2.2,4.48,3.22,2.11,4.38
"252","SM",2016,291,0.775,236,7.22,0.00837,93.3
"253","SM",2017,11.2,8.27,14.6,11.1,8.14,14.4
"254","SM",2018,12.1,6.68,19.4,11.8,6.28,18.8
"255","URS",2013,15.3,0.387,63.3,4.92,0.00679,35.7
"256","URS",2014,18,0.387,62.4,4.96,0.0166,35.2
"257","URS",2015,15.6,0.381,61.4,4.95,0.00998,36
"258","URS",2016,11.2,9.47,13.1,11.2,9.42,13.1
"259","URS",2017,3.5,2.31,4.95,3.45,2.24,4.85
"260","URS",2018,36.9,0.369,65.6,4.93,0.00476,36.9
