"","site","mu","ci.lo95","ci.hi95","med","hpdi.lo95","hpdi.hi95"
"1","BG",0.722853366782439,0.409727466557155,0.904049483705712,0.744591549513042,0.466816267391989,0.931318717246169
"2","BR",0.637924899898926,0.216301593830493,0.901018741689342,0.663573374447784,0.29349877916281,0.94104092047152
"3","CF",0.658212619211672,0.145324673586889,0.952292575382339,0.700218841240293,0.228153001468766,0.98743781663239
"4","CP3",0.788332184329485,0.372357857742863,0.964727263326914,0.827211433279571,0.484186403365156,0.988930400349561
"5","DEM",0.655749575617976,0.334304578028417,0.860027616287723,0.675148750995228,0.373160790960205,0.879318771169158
"6","DLW",0.7344711782965,0.196822950546111,0.955472529900087,0.785946148909469,0.322292700704641,0.9913363480043
"7","EC",0.632144846480016,0.216151114362006,0.864295406860091,0.661898506279514,0.285031768108035,0.905189558270858
"8","FR",0.730363921366675,0.233585837136463,0.958627539995924,0.776353600498607,0.343420833805308,0.98636604142737
"9","GCN",0.698530596549932,0.221051884548479,0.930460384595464,0.738413194916251,0.325509529839759,0.971749051547192
"10","KYE",0.774797367750626,0.392530513708653,0.936456910226474,0.80757838260095,0.501549003104621,0.974317588466204
"11","LCE",0.633071743654455,0.106161460348852,0.936200992142676,0.68030652666654,0.180991308235664,0.974396471989472
"12","LCW",0.757494270508653,0.25783072647461,0.956370563928332,0.805105747523559,0.39025582949991,0.991227050183054
"13","LO",0.657744850874705,0.208113399723576,0.928573710407763,0.687829774890824,0.29579622110031,0.971651182491907
"14","MC",0.774527570223761,0.382329117055375,0.954390506466441,0.811127726012883,0.473590726729937,0.980168490767201
"15","OKRE",0.772244238772721,0.336025014345502,0.959379842385487,0.814693539881136,0.444684682002939,0.987507017375556
"16","OKRW",0.749281635027273,0.231138209108065,0.955608975798369,0.799773012780751,0.358907339732764,0.989273555336191
"17","OSR",0.680532947471161,0.163672737849179,0.927105954744471,0.728481366823044,0.264254449527565,0.970725551000109
"18","S22",0.789009678982686,0.390370864352831,0.956251475504969,0.829186596154595,0.487103061188398,0.983511964594628
"19","SM",0.515398067103681,0.137887737760182,0.844905830834824,0.527378656573601,0.162574123786326,0.866994757270863
"20","URS",0.724171782776937,0.319717031414228,0.934826962587358,0.752912372823279,0.413802399031347,0.970310450353491
