"","site","mu","ci.lo95","ci.hi95","med","hpdi.lo95","hpdi.hi95"
"1","BG",0.727207010021247,0.34511237417186,0.928468003611909,0.752457408425435,0.438024730310577,0.967722170892603
"2","BR",0.808941305513367,0.339579133425107,0.972334623978491,0.851324144194985,0.485553676959434,0.99464394015419
"3","CF",0.685507345369616,0.152376951107005,0.95638113861401,0.731964203577375,0.246924947504435,0.987015912769665
"4","CP3",0.814513400705595,0.435458563874824,0.960595282751591,0.849842827169214,0.551508960016526,0.987587965088548
"5","DEM",0.640564842334919,0.0670816398288613,0.957483234606423,0.710870687835304,0.116234205094787,0.981356980462432
"6","DLW",0.774830750214918,0.284721651098665,0.960527346698788,0.821067657740915,0.421097984413696,0.987790938716808
"7","EC",0.684496525982059,0.211379856548001,0.909000592484555,0.725502425514509,0.305337944195788,0.94751968517253
"8","FR",0.726657383292142,0.294233196306726,0.948382422463765,0.756563070042474,0.402019852168586,0.982305272740212
"9","GCN",0.564269804593693,0.0847572058046853,0.917894690568022,0.592977497599567,0.127296722917789,0.94642917596321
"10","KYE",0.765510109550934,0.266452056791699,0.955387237041636,0.817150548722634,0.385460024568904,0.988612507963693
"11","LCE",0.700556087847024,0.211152708249132,0.9477206916476,0.739680853311856,0.31289283887212,0.983618270453347
"12","LCW",0.707788329630659,0.10543756626948,0.961429357552306,0.786550727671129,0.187816348199054,0.985393179722822
"13","LO",0.668895532988337,0.146030993457097,0.955955452976594,0.709626057017675,0.233640773353585,0.989945680262058
"14","MC",0.62900323056999,0.0623493883528635,0.96485032393166,0.689689279132957,0.113930168761362,0.989708280331737
"15","OKRE",0.654156353212506,0.120421895939771,0.957398509178986,0.698484373333456,0.199322027662135,0.986278604573002
"16","OKRW",0.693000637791631,0.0882887393672198,0.971879610706195,0.768413914392128,0.171640442542097,0.993345391120189
"17","OSR",0.643848934990822,0.124859866966012,0.931133677659142,0.690821426693515,0.196744416954637,0.96432099835627
"18","S22",0.670018898323902,0.108473932901014,0.961714051528885,0.727875233609592,0.187996748980642,0.991455665885519
"19","SM",0.530542211764304,0.0631896497659409,0.897342157595185,0.555559823343135,0.0884344486271535,0.919627864618219
"20","URS",0.647202150480677,0.164107206584048,0.934142561024836,0.682366874362734,0.239321711135141,0.971365531218756
