"site","year","med","ci.lo","ci.hi"
"BG",2006,30.85149607489,26.3295678337104,36.2396946251132
"BG",2007,32.5721761218459,28.3268946497793,37.3232297088708
"BG",2008,25.1526470791261,22.3290118920849,28.3111555850464
"BG",2009,23.6369243754371,20.1907190507934,27.6669709454934
"BG",2010,30.7445192275398,28.0499070104239,33.6964085398395
"BG",2011,27.7434492192759,24.4090142902774,31.5831080421751
"BG",2012,18.4733090806548,14.9891822020366,23.094645482791
"BG",2013,30.1414096316182,25.5440397131541,35.7307399190786
"BG",2014,9.72786714137402,8.23267608796331,12.0219428878631
"BG",2015,22.5703662614571,16.9797168464609,30.8963717029091
"BG",2016,29.3984195253582,26.8905590271636,32.1845615537913
"BG",2017,31.8570788972087,29.143614256067,34.5291187107237
"BG",2018,28.1716887330193,23.522694853425,34.1565016389066
"BR",2006,32.0595264200604,28.3944159352218,36.3860710831192
"BR",2007,32.5394612991631,27.2025442579489,39.08565326708
"BR",2008,23.9910472893556,19.6252172632618,29.515989840008
"BR",2009,21.1780117545824,16.9931716616435,26.8350693112997
"BR",2010,30.7444156546494,26.6228514024454,35.5580329065686
"BR",2011,29.175627463971,24.8859968504779,34.2192277181275
"BR",2012,29.6158812467988,25.5070506843509,34.6179881326727
"BR",2013,26.4162168015716,23.7271836357008,29.4177471433953
"BR",2014,11.8766405436544,9.31979492398145,16.5630009336612
"BR",2015,25.4052076463539,20.7526529167402,31.7137799370994
"BR",2016,36.9867930064459,33.1157550138398,41.0489575912855
"BR",2017,32.869792742194,29.127586484406,36.960350314676
"BR",2018,29.3955296792257,24.0051025665767,36.4011474754977
"CF",2006,31.4429653505203,27.3936713452437,35.9073862660148
"CF",2007,29.281252337375,24.863686458893,34.8110375530569
"CF",2008,23.8419956369875,19.1601664700875,29.6784402868213
"CF",2009,24.593435308547,20.9816771094386,28.725826322251
"CF",2010,28.7863299368551,24.8993661439211,33.5480811806717
"CF",2011,25.2885109608123,21.9039614122743,29.3253127593217
"CF",2012,23.4782565629295,19.8080468750463,28.1696509912331
"CF",2013,23.8939237672485,19.4285286520944,29.5725704888773
"CF",2014,13.8241969713207,9.73909054231777,23.7738530708329
"CF",2015,25.3349000600758,20.2596897311209,31.2172866033454
"CF",2016,31.2765271277227,26.1293494460392,37.3522038933597
"CF",2017,24.8814601563428,21.8061949523955,28.7748400014022
"CF",2018,30.3633160352702,25.2181660964879,36.6591154972427
"CP3",2006,45.835022857121,40.0847849312282,52.716153675822
"CP3",2007,41.7202758961088,36.0689918222471,48.3667497564681
"CP3",2008,33.5797256660489,26.3614013950795,43.4833978369198
"CP3",2009,44.8083022013701,40.8064131938265,49.0127168771447
"CP3",2010,43.5432050646981,38.345136267291,49.3427352446314
"CP3",2011,42.8055388598119,36.6638160193289,50.736391525743
"CP3",2012,30.9668050355887,23.9245890561699,41.6769788296809
"CP3",2013,26.1829107034158,22.2299357360013,30.722243665109
"CP3",2014,13.6311165116246,10.0818617039694,20.6408138602253
"CP3",2015,23.5006307304614,18.4549199231443,31.2206734798747
"CP3",2016,39.4261341662253,34.2884261782643,45.4137063113913
"CP3",2017,37.8248975503018,34.1092128678722,42.1135359585694
"CP3",2018,38.0390399126423,28.1819480525981,52.4593307504734
"DEM",2006,40.0446655755986,34.0233004782146,46.8186965690908
"DEM",2007,29.9193537286375,25.871597590125,34.5653192026232
"DEM",2008,32.6824330863771,26.9022270556216,40.1424486424321
"DEM",2009,30.1397740580436,26.4855681195129,34.3723593169483
"DEM",2010,37.5402100145079,32.4840143272922,43.8197842427082
"DEM",2011,18.0037403894276,14.4367999527611,22.8079405065182
"DEM",2012,13.212765233124,10.1087083992419,18.16819741935
"DEM",2013,17.2975498502627,12.718371434405,24.0864495581486
"DEM",2014,10.2309841444581,8.25782380669247,12.9160245273472
"DEM",2015,35.3382010546747,29.9006033958836,41.8055168761944
"DEM",2016,38.4966822291981,32.7133194661156,45.8220978719087
"DEM",2017,38.2029836475958,33.7010409317052,43.3270140320746
"DEM",2018,37.4963444052588,31.7600997080602,44.4311612786624
"DLW",2006,42.6671736681856,37.8622340178696,49.7188099820169
"DLW",2007,42.5369914529618,37.6844084249227,50.2127999124515
"DLW",2008,37.9257918859001,28.7748426723286,44.2962932725746
"DLW",2009,42.3156624892928,37.0238239869424,51.0834236826857
"DLW",2010,41.0822649779029,35.531705198284,48.2052755189366
"DLW",2011,40.6843889567891,35.6221273203261,47.3483289127076
"DLW",2012,39.3003290443117,33.2907417689106,44.6054432661387
"DLW",2013,37.4554911980193,30.3350760025512,43.3641325091978
"DLW",2014,40.1142424168413,30.7727050738228,50.1646779672303
"DLW",2015,41.3790527263474,35.5622750423019,50.7577463777211
"DLW",2016,38.7750706532842,33.2210706793369,43.9519097826518
"DLW",2017,38.3054158098721,30.3379211695382,44.3778108971121
"DLW",2018,40.0011370071364,34.8560294468732,45.1667807091829
"EC",2006,39.3561776304916,34.2052682074115,45.4293827769277
"EC",2007,38.025010341531,32.678103186516,44.5177797056569
"EC",2008,33.3749929030162,29.3624770405774,38.1608400704816
"EC",2009,42.0292592773116,37.0696453424145,47.8435484461453
"EC",2010,35.8500084314797,30.4154150683812,43.2343787618431
"EC",2011,37.1395594083664,31.9435628798012,43.438743301694
"EC",2012,31.661760560966,26.3693290238199,39.1679192863288
"EC",2013,28.3192936209175,21.6040822462759,37.0228670223746
"EC",2014,23.406571667113,20.1252922434333,27.4746835795374
"EC",2015,42.3044613156471,35.2717389247141,51.2465891492807
"EC",2016,43.626657943169,38.8695965790269,48.9366963950614
"EC",2017,45.7148641511338,41.5361149511799,50.4018993191054
"EC",2018,35.2540941534194,24.3752878305518,51.3912054435138
"FR",2006,51.8489015385555,45.8800069198042,58.047341448324
"FR",2007,49.0461457719631,39.3542797217096,61.555322154732
"FR",2008,36.3625318725561,30.0034297977715,45.1721216166948
"FR",2009,48.9931521379427,42.9298261602772,56.1932981547605
"FR",2010,44.7344321213387,40.1120682582909,50.1228511262777
"FR",2011,34.4007944171229,30.3335128985769,39.0962996152804
"FR",2012,27.9055013978991,22.1387172399736,37.2835589026141
"FR",2013,29.8066479798417,12.154245973276,61.042094449013
"FR",2014,18.5900490715772,16.098067055751,21.7775695087965
"FR",2015,31.3987014056327,24.7994584248447,40.3826740146798
"FR",2016,45.1748974384209,38.4255738190889,53.0148953950748
"FR",2017,37.4021079787595,34.1134568385031,40.802508589208
"FR",2018,39.2496142645456,33.5461687709062,46.6455790936882
"GCN",2006,35.4167252218049,28.9869306123251,44.0929825392432
"GCN",2007,38.1147270398591,33.6750032467965,43.1445166768288
"GCN",2008,45.8794759854158,39.0427824610136,53.7230983301109
"GCN",2009,34.2460751880949,25.9731777083871,45.0894081332495
"GCN",2010,44.6250309736718,38.6663650319711,51.7066345445432
"GCN",2011,33.5308759363335,28.119051371399,40.0701162500057
"GCN",2012,31.3011944467373,27.264448871213,36.0150716570209
"GCN",2013,22.7807404132279,17.6247861744019,31.7716689922333
"GCN",2014,42.2281563116267,37.0641443698868,48.022633994974
"GCN",2015,32.7518709242824,27.5401582781479,39.121686543472
"GCN",2016,34.1604655787178,28.4833847471218,41.0670529295092
"GCN",2017,38.1466832831853,32.3082624171627,45.03711165374
"GCN",2018,32.7434567207607,27.690878161173,39.2102186818035
"KYE",2006,34.8692675500351,30.6276863251622,39.8566925224913
"KYE",2007,37.3037480705463,32.1243001471334,44.0731745406364
"KYE",2008,30.6998477631835,26.8306980232754,35.0446648297822
"KYE",2009,30.753880540006,27.2914703608825,34.647773542868
"KYE",2010,39.1822269712314,34.1612017152651,44.9566819745021
"KYE",2011,29.6083687624425,26.0016528331243,33.8124845251156
"KYE",2012,32.1253095432502,28.244617769463,36.542423687225
"KYE",2013,30.845050794033,26.0334681691715,36.4376055665444
"KYE",2014,36.6072140194386,32.2670311407932,41.88625125248
"KYE",2015,32.6403636794003,28.2745429950322,37.7601511174202
"KYE",2016,38.9639652026221,34.4211888085778,44.5550214812433
"KYE",2017,33.6122658309915,29.8745398599126,37.8047259576667
"KYE",2018,35.9255088379854,32.5240178941693,39.543194391942
"LCE",2006,42.5911441157489,35.7262996135406,50.2209223072719
"LCE",2007,48.337772177696,44.7882364119804,52.0789922041532
"LCE",2008,32.1504041757986,28.3292727276114,36.85454799425
"LCE",2009,28.3953077431704,23.575833225371,34.5852817110543
"LCE",2010,30.4876623077416,22.7815716741992,40.7067741623742
"LCE",2011,30.6157901539735,25.2459009912073,38.1937141797123
"LCE",2012,34.5680146801102,20.69461325363,55.66735571015
"LCE",2013,26.4040462792195,22.4779341953205,31.3952555000822
"LCE",2014,31.2981554656497,27.0524400232952,36.8017247319845
"LCE",2015,41.1063827529918,34.3130648638264,49.3052671156707
"LCE",2016,42.4333623067833,35.5746032626307,50.208949607598
"LCE",2017,32.1978541048911,28.2072263347899,36.9957367824076
"LCE",2018,34.5765705801487,29.7830690081194,40.2505478857707
"LCW",2006,45.712564188171,38.6851128731389,53.2454023066242
"LCW",2007,47.0065876248247,43.0198391005682,51.5517825522083
"LCW",2008,31.8109461172692,25.0894392549411,41.0244172886227
"LCW",2009,35.9813312801042,29.0192319329719,45.0666753397654
"LCW",2010,35.1444807290804,28.6300842231942,44.0040701960831
"LCW",2011,37.3843900785967,33.5430012188377,41.6695302985076
"LCW",2012,36.7914243078273,25.2633404682342,53.1845158130528
"LCW",2013,36.3864940735921,21.3571577106686,60.9509471088297
"LCW",2014,36.3976928338012,21.5539175591263,58.7599255428537
