site,year,med,ci.lo,ci.hi,X
DEM,2011,4.011215652,3.564344104,4.473318045,3.9921875
DLW,2011,8.346409521,7.22415885,9.749706182,8.563636364
EC,2011,3.619394602,3.335979052,3.955474795,3.637305699
FR,2011,5.230073108,4.667343563,5.893650835,5.225165563
GCN,2011,2.53018196,2.265927073,2.818582412,2.507751938
KYE,2011,3.466903103,3.102780274,3.876641754,3.466666667
LCE,2011,6.599445799,4.794720153,9.158608056,6.551724138
LCW,2011,12.73553534,9.759670225,16.57816973,12.79245283
LO,2011,4.980402756,3.888136892,6.445987693,4.95
MC,2011,7.157223767,6.408128531,8.070828542,7.194244604
OKRE,2011,7.367230193,6.453787609,8.430449539,7.5
OKRW,2011,11.29120743,9.665819809,13.3693254,11.4950495
OSR,2011,4.984175456,4.475233653,5.591180503,5.025547445
S22,2011,13.07587685,11.25081863,15.22723012,13.3047619
SM,2011,2.605088267,2.320524564,2.921093184,2.587939698
URS,2011,12.8449168,10.30350447,16.33967256,12.93103448
BG,2012,6.273653322,5.156925606,7.676545961,6.619047619
BR,2012,3.154485533,2.689164564,3.735415666,3.152
CF,2012,5.578727313,4.809506527,6.512251955,5.649484536
CP3,2012,4.09318051,3.271469765,5.094811388,3.84
DEM,2012,6.613396275,5.579619132,7.89231652,6.623655914
DLW,2012,4.981916921,4.026539102,6.193911139,4.726027397
EC,2012,2.50948022,2.07978266,3.024792228,2.43373494
FR,2012,5.325337248,3.95675504,7.151218725,5.176470588
GCN,2012,3.401932756,3.052225958,3.793041833,3.392156863
KYE,2012,4.059027835,3.410476082,4.831014945,4.093333333
LCE,2012,7.287875153,1.428794438,36.8317131,0
LCW,2012,26.23599646,14.25116315,40.17575255,27.66666667
LO,2012,5.674390026,3.186042027,9.934059658,5.666666667
MC,2012,5.088718203,4.355760712,5.978026608,4.974025974
OKRE,2012,6.020990253,3.586097865,12.15491119,8.8
OKRW,2012,3.416174057,2.033943446,5.685691569,3.166666667
OSR,2012,3.839454489,3.355287953,4.423734127,3.758389262
S22,2012,5.62511186,4.798267449,6.606575908,5.634782609
SM,2012,3.031545935,2.517420387,3.687649602,3.019607843
URS,2012,17.53465653,8.608165432,39.82474617,22
