"site","year","med","ci.lo","ci.hi"
"BG",2006,0.896797887966154,0.709037107408221,0.977754240277933
"BG",2007,0.805646681924014,0.574046900727908,0.937915328893449
"BG",2008,0.895779529354508,0.77115205128955,0.968734751243006
"BR",2006,0.952871138264334,0.663770485551316,0.997900009668892
"BR",2007,0.901658849159106,0.57096686911953,0.981667516554436
"BR",2008,0.838332225710342,0.508759111992285,0.969580001359439
"CF",2006,0.823236319532568,0.400356719099266,0.978823053744737
"CF",2007,0.927578397175349,0.839751081985462,0.982478492906057
"CF",2008,0.918194273951502,0.830120006960347,0.971937888378887
"CP3",2006,0.941298578517667,0.79721485946799,0.991087999518732
"CP3",2007,0.927077285363692,0.813188815487205,0.974877218434945
"CP3",2008,0.909749801917252,0.733564083746934,0.984315003328645
"DEM",2006,0.872281495974292,0.532201375626739,0.985707356565215
"DEM",2007,0.913052942691428,0.773113547278306,0.974452260338282
"DEM",2008,0.876539685807831,0.667123941967717,0.969473470060303
"DLW",2006,0.903095613193602,0.733275928615213,0.975517937933358
"DLW",2007,0.909233711832159,0.761363805818229,0.975040872998923
"DLW",2008,0.927951584841618,0.680522890561187,0.989577524902702
"EC",2006,0.867417839339536,0.672770802518457,0.970253608561163
"EC",2007,0.857736854232996,0.602319635729765,0.969086357978473
"EC",2008,0.680371506576754,0.417293697158881,0.933591307573765
"FR",2006,0.92535233023673,0.700941588298232,0.989865773880335
"FR",2007,0.928538876094755,0.832286862998304,0.983310039377179
"FR",2008,0.776080085972561,0.616334132735092,0.932939879472058
"GCN",2006,0.880621824626488,0.635380807675336,0.976971973786696
"GCN",2007,0.893025499940593,0.627012292915472,0.974993113265889
"GCN",2008,0.825647248817551,0.684515348452749,0.936142806603329
"KYE",2006,0.938466877979961,0.720532867418144,0.991863097479333
"KYE",2007,0.922372830128831,0.64633620619956,0.984372527135828
"KYE",2008,0.918275018675733,0.80397565282235,0.97690248808957
"LCE",2006,0.837469290366217,0.539905738844345,0.976699604141859
"LCE",2007,0.897055584859487,0.601541609468314,0.987038458047677
"LCE",2008,0.924125475371431,0.831690571184679,0.978232595373126
"LCW",2006,0.928133313123679,0.769070193442993,0.98940564467794
"LCW",2007,0.918955693104207,0.772826750252743,0.97290223879215
"LCW",2008,0.607686360648223,0.365322736023207,0.934052678960266
"LO",2006,0.945789269228289,0.744629655076618,0.994136570218658
"LO",2007,0.687118335433666,0.218039297755451,0.931503689651013
"LO",2008,0.532551416640695,0.0927894436423678,0.916042662271343
"MC",2006,0.683256149844176,0.0316087672630738,0.982601790755719
"MC",2007,0.908968791685936,0.468387311542984,0.988392536300206
"MC",2008,0.308034739757588,0.0120119038237465,0.887606679121727
"OKRE",2006,0.810501438754577,0.424585740754417,0.957591699389243
"OKRE",2007,0.797016708711085,0.40583858494564,0.953012003346451
"OKRE",2008,0.426627012183173,0.267943138129675,0.597800250350142
"OKRW",2006,0.762187965728007,0.071878895367979,0.986802999407684
"OKRW",2007,0.913888950487499,0.197789031872307,0.994390970287403
"OKRW",2008,0.387920175011705,0.037828616782202,0.908797902712238
"OSR",2006,0.515790684919173,0.0160991884520954,0.950803173897129
"OSR",2007,0.826167677740631,0.459579519027304,0.958224240619128
"OSR",2008,0.652532508953768,0.15815977410404,0.931522243020891
"S22",2006,0.699454835169617,0.0972533509454316,0.963264264954107
"S22",2007,0.904187574108498,0.646145451665863,0.970030862525969
"S22",2008,0.478648236414287,0.223551261792073,0.742102835205506
"SM",2006,0.602568074598857,0.180796670006771,0.899384566275885
"SM",2007,0.759469540433314,0.383268384574844,0.937912170969808
"SM",2008,0.279060495226402,0.0495104309681281,0.721076510569947
"URS",2006,0.661302546332203,0.177554680089231,0.929605337859061
"URS",2007,0.80238435066769,0.227017807685735,0.974174687682568
"URS",2008,0.516883290314133,0.165908453828158,0.849432655844623
